"ID","Text_enUS","Text_enGB","Text_koKR","Text_frFR","Text_deDE","Text_enCN","Text_zhCN","Text_enTW","Text_Mask"
"108","Mávající rukama, %s kráčí kolem %s.  Kvok, kvok, slepice!","","","","","","","","8323198"
"109","Mávající rukama, %s kráčí kolem tebe.  Kvok, kvok, slepice!","","","","","","","","8323198"
"110","Mávající rukama, kráčíš kolem %s.  Kvok, kvok, slepice!","","","","","","","","8323198"
"111","Mávající rukama, %s kráčí kolem.  Kvok, kvok, slepice!","","","","","","","","8323198"
"112","Mávající rukama, kráčíš kolem.  Kvok, kvok, slepice!","","","","","","","","8323198"
"113","%s se chichotá na %s.","","","","","","","","8323198"
"114","%s se na tebe chichotá.","","","","","","","","8323198"
"115","Chichotáš se na %s.","","","","","","","","8323198"
"116","%s se srdečně zasmál.","","","","","","","","8323198"
"117","Zasmál jsi se z plných plic.","","","","","","","","8323198"
"118","%s nadšeně tleská %s.","","","","","","","","8323198"
"119","%s ti nadšeně tleská.","","","","","","","","8323198"
"120","Nadšeně tleskáš %s.","","","","","","","","8323198"
"121","%s nadšeně tleská.","","","","","","","","8323198"
"122","Nadšeně tleskáš.","","","","","","","","8323198"
"123","%s se zmateně dívá na %s.","","","","","","","","8323198"
"124","%s se na tebe zmateně dívá.","","","","","","","","8323198"
"125","Díváš se na %s s podiveným výrazem.","","","","","","","","8323198"
"126","%s je beznadějně zmatený.","","","","","","","","8323198"
"127","Jsi beznadějně zmatený.","","","","","","","","8323198"
"128","%s gratuluje %s.","","","","","","","","8323198"
"129","%s ti gratuluje.","","","","","","","","8323198"
"130","Gratuluješ %s.","","","","","","","","8323198"
"131","%s všem gratuluje.","","","","","","","","8323198"
"132","Gratuluješ všem kolem sebe.","","","","","","","","8323198"
"133","%s kašle na %s.","","","","","","","","8323198"
"134","%s na tebe kašle.","","","","","","","","8323198"
"135","Kašleš na %s.","","","","","","","","8323198"
"136","%s kašle.","","","","","","","","8323198"
"137","Hlasitě jsi zakašlal.","","","","","","","","8323198"
"138","%s cowers in fear at the sight of %s.","","","","","","","","8323198"
"139","%s cowers in fear at the sight of you.","","","","","","","","8323198"
"140","You cower in fear at the sight of %s.","","","","","","","","8323198"
"141","%s se choulí ve strachu.","","","","","","","","8323198"
"142","Krčíš se strachem.","","","","","","","","8323198"
"143","%s svírá ruce v pěsti, zatímco zírá na %s.","","","","","","","","8323198"
"144","%s svírá ruce v pěsti, zatímco na tebe zírá.","","","","","","","","8323198"
"145","Svíráš ruce v pěsti, zatímco zíráš na %s.","","","","","","","","8323198"
"146","%s svírá ruce v pěsti.","","","","","","","","8323198"
"147","Svíráš ruce v pěsti.","","","","","","","","8323198"
"148","%s svírá ruce v pěsti, zatímco zírá na %s.","","","","","","","","8323198"
"149","%s svírá ruce v pěsti, zatímco na tebe zírá.","","","","","","","","8323198"
"150","%s svírá ruce v pěsti.","","","","","","","","8323198"
"151","%s se plazí pryč od %s.","","","","","","","","8323198"
"152","%s se od tebe plazí pryč.","","","","","","","","8323198"
"153","Plazíš se pryč od %s.","","","","","","","","8323198"
"154","%s se krčí strachem.","","","","","","","","8323198"
"155","Krčíš se strachem.","","","","","","","","8323198"
"156","%s pláče na rameni %s.","","","","","","","","8323198"
"157","%s pláče na tvém rameni.","","","","","","","","8323198"
"158","Pláčeš na rameni %s.","","","","","","","","8323198"
"159","%s pláče.","","","","","","","","8323198"
"160","Ty brečíš.","","","","","","","","8323198"
"161","%s by zajímalo, co má %s za lubem.","","","","","","","","8323198"
"162","%s by zajímalo, co máš za lubem.","","","","","","","","8323198"
"163","Zajímá tě, co má %s za lubem.","","","","","","","","8323198"
"164","%s ukazuje všem svou zvědavost.","","","","","","","","8323198"
"165","Můžete vyjádřit svůj zájem o okolí.","","","","","","","","8323198"
"166","%s dává všem najevo svou zvědavost.","","","","","","","","8323198"
"167","%s pokleká před %s.","","","","","","","","8323198"
"168","%s před tebou pokleká.","","","","","","","","8323198"
"169","Klaníš se před %s.","","","","","","","","8323198"
"170","%s se klaní.","","","","","","","","8323198"
"171","Klaníš se.","","","","","","","","8323198"
"172","%s tancuje s %s.","","","","","","","","8323198"
"173","%s s tebou tancuje.","","","","","","","","8323198"
"174","Tancuješ s %s.","","","","","","","","8323198"
"175","%s se dává do tance.","","","","","","","","8323198"
"176","Dáváte se do tance.","","","","","","","","8323198"
"177","%s zvedá k %s číši.  Nazdraví!","","","","","","","","8323198"
"178","%s ti připíjí na zdraví.","","","","","","","","8323198"
"179","Připíjíš na zdraví %s.","","","","","","","","8323198"
"180","%s si připíjí na zdraví!","","","","","","","","8323198"
"181","Zvedáš číší do vzduchu.  Nazdraví!","","","","","","","","8323198"
"182","%sse dívá na %s a začíná slintat.","","","","","","","","8323198"
"183","%s se na tebe dívá a začíná slintat.","","","","","","","","8323198"
"184","Díváš se na %s a začínáš slintat.","","","","","","","","8323198"
"185","Sliny stékají %s ze rtů.","","","","","","","","8323198"
"186","Sliny ti stékají ze rtů.","","","","","","","","8323198"
"187","%s začíná jíst před %s.","","","","","","","","8323198"
"188","%s před tebou začíná jíst porci jídla.","","","","","","","","8323198"
"189","Začínáš jíst před %s.","","","","","","","","8323198"
"190","%s začíná jíst.","","","","","","","","8323198"
"191","Začínáš jíst.","","","","","","","","8323198"
"192","%s prohlédl %s od vrchu dolů.","","","","","","","","8323198"
"193","%s si vás prohlédl od vrchu dolů.","","","","","","","","8323198"
"194","Prohlédl jsi si %s od vrchu až dolů.","","","","","","","","8323198"
"195","%s se na tebe dívá se zkříženými očima.","","","","","","","","8323198"
"196","Přejíždíš očima kolem.","","","","","","","","8323198"
"197","%s nesouhlasí s %s a hlasitě si uprdne.","","","","","","","","8323198"
"198","%s na vás hlasitě prdí.","","","","","","","","8323198"
"199","Nesouhlasíš s %s a hlasitě si uprdneš.","","","","","","","","8323198"
"200","%s si nahlas ulevil. No nazdar... co to smrdí?","","","","","","","","8323198"
"201","nahlas sis ulevil.  No nazdar... co to smrdí?","","","","","","","","8323198"
"202","%s s sebou netrpělivě šije, zatímco čeká na %s.","","","","","","","","8323198"
"203","%s s sebou netrpělivě šije, zatímco na tebe čeká.","","","","","","","","8323198"
"204","Netrpělivě s sebou šiješ, zatímco čekáš na %s.","","","","","","","","8323198"
"205","%s sebou pošívá.","","","","","","","","8323198"
"206","Ošíváš sebou","","","","","","","","8323198"
"207","%s napíná svaly na %s.  Ooooo tak silné!","","","","","","","","8323198"
"208","%s na tebe napíná svaly.  Ooooo tak silné!","","","","","","","","8323198"
"209","Napínáš svaly na %s.  Ooooo tak silné!","","","","","","","","8323198"
"210","%s napíná svaly.  Ooooo tak silné!","","","","","","","","8323198"
"211","Napínáš svaly.  Ooooo tak silné!","","","","","","","","8323198"
"212","%s napíná svaly.  Ooooo tak silné!","","","","","","","","8323198"
"213","%s zklamaně vraští čelo na %s.","","","","","","","","8323198"
"214","%s na tebe zklamaně vraští čelo.","","","","","","","","8323198"
"215","Zklamaně vraštíš čelo na %s.","","","","","","","","8323198"
"216","%s vraští čelo.","","","","","","","","8323198"
"217","Vraštíš čelo.","","","","","","","","8323198"
"218","%s oddychuje u %s.","","","","","","","","8323198"
"219","%s si s tebou oddychl.","","","","","","","","8323198"
"220","Lapáš po dechu z %s.","","","","","","","","8323198"
"221","%s oddychuje.","","","","","","","","8323198"
"222","Oddechuješ si","","","","","","","","8323198"
"223","%s dlouze zírá na %s.","","","","","","","","8323198"
"224","%s na tebe dlouze zírá.","","","","","","","","8323198"
"225","Dlouze zíráš na %s.","","","","","","","","8323198"
"226","%s zírá do dálky.","","","","","","","","8323198"
"227","Zíráš do dálky.","","","","","","","","8323198"
"228","%s se hihňá %s.","","","","","","","","8323198"
"229","%s se ti hihňá.","","","","","","","","8323198"
"230","Hihňáš se %s.","","","","","","","","8323198"
"231","%s se hihňá.","","","","","","","","8323198"
"232","Hihňáš se.","","","","","","","","8323198"
"233","%s rozzlobeně civí na %s.","","","","","","","","8323198"
"234","%s na tebe rozzlobeně civí.","","","","","","","","8323198"
"235","Rozzlobeně civíš na %s.","","","","","","","","8323198"
"236","%s civí rozzlobeně.","","","","","","","","8323198"
"237","Rozzuřeně se díváš.","","","","","","","","8323198"
"238","%s se pase nad neštěstím %s'.","","","","","","","","8323198"
"239","%s se pase nad tvým neštěstím.","","","","","","","","8323198"
"240","Paseš se nad neštěstím %s.","","","","","","","","8323198"
"241","%s se pase nad neštěstím všech.","","","","","","","","8323198"
"242","Paseš se nad neštěstím všech.","","","","","","","","8323198"
"243","%s vřele vítá %s.","","","","","","","","8323198"
"244","%s tě vřele vítá.","","","","","","","","8323198"
"245","Vřele vítáš %s.","","","","","","","","8323198"
"246","%s všechny vřele vítá.","","","","","","","","8323198"
"247","Vřele všechny vítáš.","","","","","","","","8323198"
"248","%s se uličnicky kření na %s.","","","","","","","","8323198"
"249","%s se na tebe uličnicky kření.","","","","","","","","8323198"
"250","Uličnicky se křeníš na %s.","","","","","","","","8323198"
"251","%s se uličnicky kření.","","","","","","","","8323198"
"252","Uličnicky se křeníš.","","","","","","","","8323198"
"253","%s kouká na %s a sténá.","","","","","","","","8323198"
"254","%s se na tebe sténavě dívá.","","","","","","","","8323198"
"255","Koukáš na %s a sténáš.","","","","","","","","8323198"
"256","%s začíná vzdychat.","","","","","","","","8323198"
"257","Začínáš vzdychat.","","","","","","","","8323198"
"258","%s se plazí před %s jako podřízený dělník.","","","","","","","","8323198"
"259","%s se plazí před vámi jako podřízený dělník.","","","","","","","","8323198"
"260","Plazíte se před %s jako podřízený dělník.","","","","","","","","8323198"
"261","%s se plazí po zemi, utápějící se v podřízenosti.","","","","","","","","8323198"
"262","Plazíš se po zemi, utápějící se v podřízenosti.","","","","","","","","8323198"
"263","%s se kouká na %s a chechtá se!","","","","","","","","8323198"
"264","%s stačil jeden pohled na tebe a vybuchl smíchy!","","","","","","","","8323198"
"265","Stačil jeden pohled na %s a vybuchl jsi smíchy!","","","","","","","","8323198"
"266","%s se divoce chechtá!","","","","","","","","8323198"
"267","Divoce se chechtáš!","","","","","","","","8323198"
"268","%s zdraví %s.","","","","","","","","8323198"
"269","%s tě zdraví.","","","","","","","","8323198"
"270","Zdravíš %s.","","","","","","","","8323198"
"271","%s zdraví všechny okolo.","","","","","","","","8323198"
"272","Zdravíš všechny okolo.","","","","","","","","8323198"
"273","%s zdraví všechny okolo.","","","","","","","","8323198"
"274","%s je velmi šťastný s %s!","","","","","","","","8323198"
"275","%s je velmi šťastný s tebou!","","","","","","","","8323198"
"276","Jsi velmi šťastný s %s!","","","","","","","","8323198"
"277","%s je naplněn radostí!","","","","","","","","8323198"
"278","Jsi naplněn štestím!","","","","","","","","8323198"
"279","%s zdraví %s srdečným pozdravem!","","","","","","","","8323198"
"280","%s tě zdraví srdečným pozdravem!","","","","","","","","8323198"
"281","Zdravíš %s srdečným pozdraven!","","","","","","","","8323198"
"282","%s zdraví všechny srdečným pozdravem!","","","","","","","","8323198"
"283","Zdravíš všechny srdečným pozdravem!","","","","","","","","8323198"
"284","%s objímá %s.","","","","","","","","8323198"
"285","%s tě objímá.","","","","","","","","8323198"
"286","Objímáš %s.","","","","","","","","8323198"
"287","%s potřebuje obejmutí!","","","","","","","","8323198"
"288","Potřebuješ obejmout!","","","","","","","","8323198"
"289","%s je hladový. %s možná má nějaké jídlo...","","","","","","","","8323198"
"290","%s je hladový.  Možná máš nějaké jídlo...","","","","","","","","8323198"
"291","Jsi hladový.  %s má možná nějaké jídlo...","","","","","","","","8323198"
"292","%s je hladový!","","","","","","","","8323198"
"293","Jsi hladový!","","","","","","","","8323198"
"294","%s posílá %s polibek.","","","","","","","","8323198"
"295","%s ti posílá polibek.","","","","","","","","8323198"
"296","Posíláš polibek %s.","","","","","","","","8323198"
"297","%s posílá polibek do vzduchu.","","","","","","","","8323198"
"298","Posíláš polibek do vzduchu.","","","","","","","","8323198"
"299","%s pokleknul před %s.","","","","","","","","8323198"
"300","%s před tebou poklekl.","","","","","","","","8323198"
"301","Poklekl jsi před %s.","","","","","","","","8323198"
"302","%s pokleknul.","","","","","","","","8323198"
"303","Poklekl jsi.","","","","","","","","8323198"
"304","%s se směje na %s.","","","","","","","","8323198"
"305","%s se na tebe směje.","","","","","","","","8323198"
"306","Směješ se na %s.","","","","","","","","8323198"
"307","%s se směje.","","","","","","","","8323198"
"308","Směješ se.","","","","","","","","8323198"
"309","%s si lehl před %s.","","","","","","","","8323198"
"310","%s si před tebou lehl.","","","","","","","","8323198"
"311","Lehl jsi před %s.","","","","","","","","8323198"
"312","%s si lehnul.","","","","","","","","8323198"
"313","Lehnul sis.","","","","","","","","8323198"
"314","%s masíruje %s ramena.","","","","","","","","8323198"
"315","%s ti masíruje ramena.","","","","","","","","8323198"
"316","Masíruješ %s ramena.","","","","","","","","8323198"
"317","%s potřebuje masáž!","","","","","","","","8323198"
"318","Potřebuješ masáž!","","","","","","","","8323198"
"319","%s sugestivně běduje na %s.","","","","","","","","8323198"
"320","%s na tebe sugestivně běduje.","","","","","","","","8323198"
"321","Sugestivně běduješ na %s.","","","","","","","","8323198"
"322","%s sugestivně běduje.","","","","","","","","8323198"
"323","Sugestivně sténáš.","","","","","","","","8323198"
"324","%s si stáhl kalhoty a špulí zadek na %s.","","","","","","","","8323198"
"325","%s si stáhl kalhoty a špulí na tebe zadek.","","","","","","","","8323198"
"326","Stahuješ si kalhoty a na všechny špulíš zadek %s.","","","","","","","","8323198"
"327","%s si stáhl kalhoty a na všechny špulí zadek.","","","","","","","","8323198"
"328","Stahuješ si kalhoty a na všechny špulíš zadek.","","","","","","","","8323198"
"329","%s si stáhla kalhoty a špulí zadek na %s.","","","","","","","","8323198"
"330","%s si stáhla kalhoty a špulí na tebe zadek.","","","","","","","","8323198"
"331","%s si stáhla kalhoty a na všechny špulí zadek.","","","","","","","","8323198"
"332","V tichém rozjímání, %s truchlí pro %s.","","","","","","","","8323198"
"333","V tichém rozjímání %s truchlí nad tvou smrtí.","","","","","","","","8323198"
"334","V tichém rozjímání truchlíš nad smrtí %s.","","","","","","","","8323198"
"335","V tichém rozjímání %s truchlí nad mrtvými.","","","","","","","","8323198"
"336","V tichém rozjímání, truchlíš ze ztráty mrtvých.","","","","","","","","8323198"
"337","%s říká %s NE. To se nestane.","","","","","","","","8323198"
"338","%s ti říká NE.  To se nestane.","","","","","","","","8323198"
"339","Říkáš %s NE.  To se nestane.","","","","","","","","8323198"
"340","%s jasně prohlašuje NE.","","","","","","","","8323198"
"341","Jasně prohlašuješ NE.","","","","","","","","8323198"
"342","%s přikyvuje %s.","","","","","","","","8323198"
"343","%s ti přikyvuje.","","","","","","","","8323198"
"344","Přikyvuješ %s.","","","","","","","","8323198"
"345","%s přikyvuje.","","","","","","","","8323198"
"346","Přikyvuješ.","","","","","","","","8323198"
"347","%s se šťourá v nose a ukazuje výsledek %s.","","","","","","","","8323198"
"348","%s se šťourá v nose a ukazuje ti výsledek.","","","","","","","","8323198"
"349","Šťouráš se v nose a ukazuješ výsledek %s.","","","","","","","","8323198"
"350","%s se nudí a dloube se v nose.","","","","","","","","8323198"
"351","Dloubáš se nudou v nose.","","","","","","","","8323198"
"352","%s se šťourá v nose a ukazuje výsledek %s.","","","","","","","","8323198"
"353","%s se šťourá v nose a ukazuje ti výsledek.","","","","","","","","8323198"
"354","%s z prvního pohledu na %s panikaří.","","","","","","","","8323198"
"355","%s z prvního pohledu na tebe panikaří.","","","","","","","","8323198"
"356","Z prvního pohledu na %s panikaříš.","","","","","","","","8323198"
"357","%s běhá okolo ve stavu horečné paniky.","","","","","","","","8323198"
"358","Panicky běháš kolem dokola.","","","","","","","","8323198"
"359","%s pátravě pokukuje na %s.","","","","","","","","8323198"
"360","%s na tebe pátravě pokukuje.","","","","","","","","8323198"
"361","Pátravě pokukuješ na %s.","","","","","","","","8323198"
"362","%s pátravě pokukuje okolo.","","","","","","","","8323198"
"363","Pátravě se rozhlížíš.","","","","","","","","8323198"
"364","%s prosí %s.","","","","","","","","8323198"
"365","%s tě prosí.","","","","","","","","8323198"
"366","Ty prosíš %s.","","","","","","","","8323198"
"367","%s kleká na kolena a zoufale prosí.","","","","","","","","4128894"
"368","Ty klekáš na kolena a zoufale prosíš.","","","","","","","","8323198"
"369","%s kleká na kolena a zoufale prosí.","","","","","","","","8323198"
"370","%s ukazuje na %s.","","","","","","","","8323198"
"371","%s ukazuje na tebe.","","","","","","","","8323198"
"372","Ty ukazuješ na %s.","","","","","","","","8323198"
"373","%s ukazuje přes tamto.","","","","","","","","8323198"
"374","Ty ukazuješ přes tamto.","","","","","","","","8323198"
"375","%s popichuje %s.  Hej!","","","","","","","","8323198"
"376","%s tě popichuje. Hej!","","","","","","","","8323198"
"377","Ty popichuješ %s. Hej!","","","","","","","","8323198"
"378","%s popichuje jeho břicho.","","","","","","","","8323198"
"379","Ty hladíš svoje břicho a hihňáš se. ","","","","","","","","8323198"
"380","%s jí popichuje břicho a hihňá se.","","","","","","","","8323198"
"381","%s se modlí za %s.","","","","","","","","8323198"
"382","%s se za tebe modlí. ","","","","","","","","8323198"
"383","Ty se modlíš za %s.","","","","","","","","8323198"
"384","%s se modlí k Bohu. ","","","","","","","","8323198"
"385","Ty se modlíš k Bohu.","","","","","","","","8323198"
"386","%s řve s bestiálním důrazem na %s. Taková zuřivost!","","","","","","","","8323198"
"387","%s na tebe řve s bestiálním důrazem. Taková zuřivost!","","","","","","","","8323198"
"388","Řveš s bestiálním důrazem na %s. Taková zuřivost!","","","","","","","","8323198"
"389","%s řve s bestiálním důrazem. Taková zuřivost!","","","","","","","","8323198"
"390","Řveš s bestiálním důrazem. Taková zuřivost!","","","","","","","","8323198"
"391","%s se válí po zemi, smějící se %s.","","","","","","","","8323198"
"392","%s válí se po zemi, smějící se tobě.","","","","","","","","8323198"
"393","Válíš se po zemi, smějící se %s.","","","","","","","","8323198"
"394","%s se smíchem válí po zemi.","","","","","","","","8323198"
"395","Padáš smíchy na podlahu.","","","","","","","","8323198"
"396","%s udělal sprosté gesto na %s.","","","","","","","","8323198"
"397","%s udělal sprosté gesto na tebe.","","","","","","","","8323198"
"398","Udělal jsi sprosté gesto na %s.","","","","","","","","8323198"
"399","%s udělal sprosté gesto.","","","","","","","","8323198"
"400","Udělal jsi sprosté gesto.","","","","","","","","8323198"
"401","%s salutuje %s s respektem.","","","","","","","","8323198"
"402","%s ti salutuje s respektem.","","","","","","","","8323198"
"403","Salutuješ %s s respektem.","","","","","","","","8323198"
"404","%s stojí v pozoru a salutuje.","","","","","","","","4128894"
"405","Stojíš v pozoru a salutuješ.","","","","","","","","8323198"
"406","%s drbeš %s.  Jak kočičí!","","","","","","","","8323198"
"407","%s tě drbe.  Jak kočičí!","","","","","","","","8323198"
"408","Drbeš %s.  Jak kočičí!","","","","","","","","8323198"
"409","%s se podrbal.  Ó, mnohem lepší!","","","","","","","","8323198"
"410","Podrbal ses.  Ó, mnohem lepší!","","","","","","","","8323198"
"411","%s se škrábe.  Ah, mnohem lepší!","","","","","","","","8323198"
"412","%s myslí, že %s je sexy ďábel.","","","","","","","","8323198"
"413","%s myslí, že jsi sexy ďábel.","","","","","","","","8323198"
"414","Myslíš, že %s je sexy ďábel.","","","","","","","","8323198"
"415","%s je příliž sexy pro svojí tuniku...tak sexy, až to bolí.","","","","","","","","8323198"
"416","Jsi příliž sexy pro svojí tuniku...tak sexy, až to bolí.","","","","","","","","8323198"
"417","%s je příliž sexy pro svojí tuniku...tak sexy, až to bolí.","","","","","","","","8323198"
"418","%s natřásá svůj zadek na %s.","","","","","","","","8323198"
"419","%s na tebe natřásá svůj zadek.","","","","","","","","8323198"
"420","Natřásáš svůj zadek na %s.","","","","","","","","8323198"
"421","%s natřásá svůj zadek.","","","","","","","","8323198"
"422","Natřásáš svůj zadek.","","","","","","","","8323198"
"423","%s natřásá svůj zadkem na %s.","","","","","","","","8323198"
"424","%s na tebe natřásá svůj zadek.","","","","","","","","8323198"
"425","%s natřásá svůj zadek.","","","","","","","","8323198"
"426","%s křičí na %s.","","","","","","","","8323198"
"427","%s na tebe křičí.","","","","","","","","8323198"
"428","Křičíš na %s.","","","","","","","","8323198"
"429","%s křičí.","","","","","","","","8323198"
"430","Křičíš.","","","","","","","","8323198"
"431","%s krčí rameny na %s.  Kdo ví?","","","","","","","","8323198"
"432","%s na tebe krčí rameny.  Kdo ví?","","","","","","","","8323198"
"433","Krčíš rameny na %s.  Kdo ví?","","","","","","","","8323198"
"434","%s krčí rameny.  Kdo ví?","","","","","","","","4128894"
"435","Krčíš rameny. Kdo ví?","","","","","","","","8323198"
"436","%s se stydlivě usmívá na %s.","","","","","","","","4128894"
"437","%s se na tebe stydlivě usmívá.","","","","","","","","4128894"
"438","Stydlivě se usmíváš na %s.","","","","","","","","4128894"
"439","%s se stydlivě usmívá.","","","","","","","","4128894"
"440","Stydlivě se usmíváš.","","","","","","","","4128894"
"441","%s vzdychá na %s.","","","","","","","","8323198"
"442","%s na tebe vzdychá.","","","","","","","","8323198"
"443","Vzdycháš na %s.","","","","","","","","8323198"
